lon,lat,degree,mesh_code_2d
142.8125,43.9583,9°40′,654276
142.6875,43.9583,9°50′,654275
142.5625,43.9583,10°10′,654274
142.4375,43.9583,10°20′,654273
142.3125,43.9583,10°40′,654272
142.1875,43.9583,10°50′,654271
142.0625,43.9583,10°20′,654270
142.9375,43.875,9°40′,654267
142.8125,43.875,9°40′,654266
142.6875,43.875,9°50′,654265
142.5625,43.875,10° 0′,654264
142.4375,43.875,10° 0′,654263
142.3125,43.875,10°40′,654262
142.1875,43.875,11°10′,654261
142.0625,43.875,10°40′,654260
142.9375,43.7917,9°50′,654257
142.8125,43.7917,9°50′,654256
142.6875,43.7917,10° 0′,654255
142.5625,43.7917,10° 0′,654254
142.4375,43.7917,9°50′,654253
142.3125,43.7917,10°10′,654252
142.1875,43.7917,10°50′,654251
142.0625,43.7917,10°30′,654250
142.9375,43.7083,9°50′,654247
142.8125,43.7083,10° 0′,654246
142.6875,43.7083,10° 0′,654245
142.5625,43.7083,10° 0′,654244
142.4375,43.7083,9°50′,654243
142.3125,43.7083,9°50′,654242
142.1875,43.7083,10° 0′,654241
142.0625,43.7083,10° 0′,654240
142.9375,43.625,9°50′,654237
142.8125,43.625,9°50′,654236
142.6875,43.625,10° 0′,654235
142.5625,43.625,10° 0′,654234
142.4375,43.625,9°50′,654233
142.3125,43.625,9°40′,654232
142.1875,43.625,9°50′,654231
142.0625,43.625,9°50′,654230
142.9375,43.5417,9°40′,654227
142.8125,43.5417,9°50′,654226
142.6875,43.5417,10° 0′,654225
142.5625,43.5417,10° 0′,654224
142.4375,43.5417,10° 0′,654223
142.3125,43.5417,9°50′,654222
142.1875,43.5417,9°50′,654221
142.0625,43.5417,9°50′,654220
142.9375,43.4583,9°40′,654217
142.8125,43.4583,9°50′,654216
142.6875,43.4583,10° 0′,654215
142.5625,43.4583,10°10′,654214
142.4375,43.4583,10° 0′,654213
142.3125,43.4583,9°50′,654212
142.1875,43.4583,9°40′,654211
142.0625,43.4583,9°40′,654210
142.9375,43.375,9°40′,654207
142.8125,43.375,9°50′,654206
142.6875,43.375,10° 0′,654205
142.5625,43.375,10° 0′,654204
142.4375,43.375,9°50′,654203
142.3125,43.375,9°40′,654202
142.1875,43.375,9°40′,654201
142.0625,43.375,9°40′,654200
141.9375,43.9583,10° 0′,654177
141.8125,43.9583,9°50′,654176
141.6875,43.9583,9°50′,654175
141.5625,43.9583,9°50′,654174
141.9375,43.875,10° 0′,654167
141.8125,43.875,9°50′,654166
141.6875,43.875,9°40′,654165
141.5625,43.875,9°40′,654164
141.4375,43.875,9°50′,654163
141.9375,43.7917,10° 0′,654157
141.8125,43.7917,9°40′,654156
141.6875,43.7917,9°30′,654155
141.5625,43.7917,9°40′,654154
141.4375,43.7917,9°50′,654153
141.3125,43.7917,10° 0′,654152
141.9375,43.7083,9°40′,654147
141.8125,43.7083,9°30′,654146
141.6875,43.7083,9°30′,654145
141.5625,43.7083,9°50′,654144
141.4375,43.7083,10° 0′,654143
141.3125,43.7083,10° 0′,654142
141.9375,43.625,9°40′,654137
141.8125,43.625,9°20′,654136
141.6875,43.625,9°40′,654135
141.5625,43.625,10° 0′,654134
141.4375,43.625,10°10′,654133
141.3125,43.625,10°10′,654132
141.9375,43.5417,9°40′,654127
141.8125,43.5417,9°20′,654126
141.6875,43.5417,9°40′,654125
141.5625,43.5417,10° 0′,654124
141.4375,43.5417,10°10′,654123
141.3125,43.5417,10°10′,654122
141.9375,43.4583,9°30′,654117
141.8125,43.4583,9°20′,654116
141.6875,43.4583,9°30′,654115
141.5625,43.4583,9°50′,654114
141.4375,43.4583,10° 0′,654113
141.3125,43.4583,10° 0′,654112
141.9375,43.375,9°30′,654107
141.8125,43.375,9°30′,654106
141.6875,43.375,9°40′,654105
141.5625,43.375,9°40′,654104
141.4375,43.375,9°50′,654103
140.5625,43.375,10° 0′,654004
140.4375,43.375,10° 0′,654003
140.3125,43.375,10° 0′,654002
145.8125,43.2917,7°40′,644576
145.6875,43.2917,7°30′,644575
145.5625,43.2917,7°20′,644574
145.4375,43.2917,7°30′,644573
145.3125,43.2917,7°50′,644572
145.1875,43.2917,8°10′,644571
145.0625,43.2917,8°20′,644570
145.5625,43.2083,7°20′,644564
145.4375,43.2083,7°20′,644563
145.3125,43.2083,7°30′,644562
145.1875,43.2083,7°40′,644561
145.0625,43.2083,8° 0′,644560
145.5625,43.125,7°20′,644554
145.4375,43.125,7°30′,644553
145.3125,43.125,7°30′,644552
145.1875,43.125,7°40′,644551
145.0625,43.125,7°50′,644550
145.1875,43.0417,7°40′,644541
145.0625,43.0417,7°50′,644540
145.0625,42.9583,8° 0′,644530
144.9375,43.2917,8°40′,644477
144.8125,43.2917,8°50′,644476
144.6875,43.2917,9° 0′,644475
144.5625,43.2917,9°20′,644474
144.4375,43.2917,9°30′,644473
144.3125,43.2917,9°20′,644472
144.1875,43.2917,8°50′,644471
144.0625,43.2917,8°40′,644470
144.9375,43.2083,8°20′,644467
144.8125,43.2083,8°30′,644466
144.6875,43.2083,8°50′,644465
144.5625,43.2083,9° 0′,644464
144.4375,43.2083,9°10′,644463
144.3125,43.2083,9° 0′,644462
144.1875,43.2083,8°50′,644461
144.0625,43.2083,8°40′,644460
144.9375,43.125,8°10′,644457
144.8125,43.125,8°20′,644456
144.6875,43.125,8°30′,644455
144.5625,43.125,8°40′,644454
144.4375,43.125,8°40′,644453
144.3125,43.125,8°40′,644452
144.1875,43.125,8°40′,644451
144.0625,43.125,8°40′,644450
144.9375,43.0417,8° 0′,644447
144.8125,43.0417,8°20′,644446
144.6875,43.0417,8°30′,644445
144.5625,43.0417,8°30′,644444
144.4375,43.0417,8°30′,644443
144.3125,43.0417,8°30′,644442
144.1875,43.0417,8°30′,644441
144.0625,43.0417,8°40′,644440
144.9375,42.9583,8°10′,644437
144.8125,42.9583,8°20′,644436
144.6875,42.9583,8°30′,644435
144.5625,42.9583,8°30′,644434
144.4375,42.9583,8°30′,644433
144.3125,42.9583,8°30′,644432
144.1875,42.9583,8°30′,644431
144.0625,42.9583,8°40′,644430
